발전소명,발전원,연료,형식,발전회사,소재지,용량_MW,준공,상태,대수,단위용량,보일러제작사,터빈제작사,발전기제작사,정격전압,용도별,회원,시장,급전
괴산,수력,소수력,소수력,한수원,충북 괴산군 칠성면(남한강수계 남한강 칠성호),2,1957.2,운영중,1,2 MW,-,James Leffel,GE,-,신재생,정회원,시장,비중앙
달성보,수력,소수력,소수력,수자원공사,경북 고령군 개진면,2,2012.6,운영중,1,2 MW,-,Andritz,Andritz,-,신재생,정회원,시장,비중앙
소천,수력,소수력,소수력,㈜한여울,경북 봉화군 소천면,2,1987.7,운영중,1,2 MW,-,FLYGT,FLYGT,-,신재생,정회원,시장,비중앙
소청도,내연력,경유,내연,한국전력,인천 옹진군 대청면 소청리,2,1995.1,운영중,3,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
단양수중보,수력,소수력,소수력,수자원공사,충북 단양군 단성면,2,2019.6,운영중,1,2 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
삼한에너지,수력,소수력,소수력,애플에너지,강원 정선군 정선읍,2,2014.9,운영중,1,2 MW,-,-,-,-,신재생,정회원,시장,비중앙
삼척그린파워 해양소수력,수력,소수력,소수력,남부발전,강원 삼척시 원덕읍,2,2017.8,운영중,1,2 MW,-,대양수력,CG Electric Systems Hungary Zrt,-,신재생,정회원,시장,비중앙
백제보,수력,소수력,소수력,수자원공사,충남 부여군 부여읍,2,2011.12,운영중,1,2 MW,-,Gugler,현대중공업,-,신재생,정회원,시장,비중앙
보령화력#2,수력,소수력,소수력,중부발전,충남 보령군 오천면 오포,2,2008.6,운영중,1,2 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
덕적도,내연력,경유,내연,한국전력,인천 옹진군 덕적면,2,1989.8 외 3건,운영중,7,0 MW,-,Niigata,효성중공업,-,사업용,비회원,시장외,비중앙
태안소수력,수력,소수력,소수력,서부발전,충남 태안군 원북면,2,2008.6,운영중,1,2 MW,수차:대양전기,수문:두산중공업,두산중공업,-,신재생,정회원,시장,비중앙
방우리,수력,소수력,소수력,㈜청풍에너지,충남 금산군 부리면,2,1987.3,운영중,1,2 MW,-,FLYGT,FLYGT,-,신재생,정회원,시장,비중앙
한석,수력,소수력,소수력,㈜한석에너지,충북 단양군 영춘면,2,1989.4,운영중,1,2 MW,-,Omy사,현대중공업,-,신재생,정회원,시장,비중앙
홍도,내연력,경유,내연,한국전력,전남 신안군 흑산면 홍도리,2,"1993.3, 2004.11, 2010.5",운영중,4,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
위도,내연력,경유,내연,한국전력,전북 부안군 위도면 진리,2,"1993.2, 2002.8, 2003.6",운영중,5,0 MW,-,Sulzzer,현대중전기,-,사업용,비회원,시장외,비중앙
성주,수력,소수력,소수력,㈜성주발전,경북 성주군 가천면,1,1999.9,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
장성,수력,소수력,소수력,농어촌공사,전남 장성군 장성읍,1,2013.7,운영중,1,1 MW,-,금전기업,일진전기,-,신재생,정회원,시장,비중앙
